index,source_ip,ja3_digest,计数项:source_ip,fp_num
244,192.168.120.113,de350869b8c85de67a350c8d186f11e6,4,943
246,192.168.120.146,de350869b8c85de67a350c8d186f11e6,2,943
248,192.168.120.15,de350869b8c85de67a350c8d186f11e6,2,943
250,192.168.121.183,de350869b8c85de67a350c8d186f11e6,1,943
252,192.168.121.188,de350869b8c85de67a350c8d186f11e6,2,943
254,192.168.121.192,de350869b8c85de67a350c8d186f11e6,12,943
256,192.168.121.38,de350869b8c85de67a350c8d186f11e6,8,943
258,192.168.121.61,de350869b8c85de67a350c8d186f11e6,3,943
260,192.168.121.72,de350869b8c85de67a350c8d186f11e6,4,943
262,192.168.121.73,de350869b8c85de67a350c8d186f11e6,9,943
264,192.168.122.148,de350869b8c85de67a350c8d186f11e6,8,943
266,192.168.122.161,de350869b8c85de67a350c8d186f11e6,1,943
268,192.168.122.167,de350869b8c85de67a350c8d186f11e6,2,943
270,192.168.122.242,de350869b8c85de67a350c8d186f11e6,12,943
274,192.168.122.33,de350869b8c85de67a350c8d186f11e6,8,943
276,192.168.122.4,de350869b8c85de67a350c8d186f11e6,2,943
278,192.168.122.58,de350869b8c85de67a350c8d186f11e6,5,943
280,192.168.123.108,de350869b8c85de67a350c8d186f11e6,3,943
284,192.168.123.197,de350869b8c85de67a350c8d186f11e6,1,943
286,192.168.123.211,de350869b8c85de67a350c8d186f11e6,9,943
288,192.168.123.29,de350869b8c85de67a350c8d186f11e6,8,943
290,192.168.124.117,de350869b8c85de67a350c8d186f11e6,1,943
292,192.168.124.172,de350869b8c85de67a350c8d186f11e6,2,943
299,192.168.124.226,de350869b8c85de67a350c8d186f11e6,1,943
301,192.168.124.245,de350869b8c85de67a350c8d186f11e6,1,943
303,192.168.124.255,de350869b8c85de67a350c8d186f11e6,8,943
305,192.168.124.65,de350869b8c85de67a350c8d186f11e6,1,943
307,192.168.124.70,de350869b8c85de67a350c8d186f11e6,12,943
309,192.168.125.132,de350869b8c85de67a350c8d186f11e6,7,943
311,192.168.125.137,de350869b8c85de67a350c8d186f11e6,9,943
313,192.168.125.162,de350869b8c85de67a350c8d186f11e6,2,943
315,192.168.125.166,de350869b8c85de67a350c8d186f11e6,3,943
326,192.168.126.121,de350869b8c85de67a350c8d186f11e6,9,943
328,192.168.126.123,de350869b8c85de67a350c8d186f11e6,7,943
330,192.168.126.13,de350869b8c85de67a350c8d186f11e6,2,943
332,192.168.126.160,de350869b8c85de67a350c8d186f11e6,8,943
334,192.168.126.189,de350869b8c85de67a350c8d186f11e6,4,943
336,192.168.126.190,de350869b8c85de67a350c8d186f11e6,1,943
338,192.168.127.114,de350869b8c85de67a350c8d186f11e6,2,943
340,192.168.127.129,de350869b8c85de67a350c8d186f11e6,8,943
342,192.168.127.172,de350869b8c85de67a350c8d186f11e6,12,943
344,192.168.127.232,de350869b8c85de67a350c8d186f11e6,2,943
346,192.168.127.41,de350869b8c85de67a350c8d186f11e6,2,943
352,192.168.128.107,de350869b8c85de67a350c8d186f11e6,2,943
354,192.168.128.125,de350869b8c85de67a350c8d186f11e6,12,943
356,192.168.128.14,de350869b8c85de67a350c8d186f11e6,2,943
358,192.168.128.219,de350869b8c85de67a350c8d186f11e6,8,943
360,192.168.128.221,de350869b8c85de67a350c8d186f11e6,2,943
362,192.168.128.226,de350869b8c85de67a350c8d186f11e6,2,943
364,192.168.129.12,de350869b8c85de67a350c8d186f11e6,12,943
366,192.168.129.120,de350869b8c85de67a350c8d186f11e6,2,943
368,192.168.129.127,de350869b8c85de67a350c8d186f11e6,8,943
370,192.168.129.141,de350869b8c85de67a350c8d186f11e6,12,943
372,192.168.129.142,de350869b8c85de67a350c8d186f11e6,9,943
374,192.168.129.24,de350869b8c85de67a350c8d186f11e6,1,943
378,192.168.129.87,de350869b8c85de67a350c8d186f11e6,12,943
382,192.168.13.163,de350869b8c85de67a350c8d186f11e6,8,943
384,192.168.13.48,de350869b8c85de67a350c8d186f11e6,4,943
386,192.168.13.85,de350869b8c85de67a350c8d186f11e6,9,943
392,192.168.130.71,de350869b8c85de67a350c8d186f11e6,12,943
394,192.168.131.200,de350869b8c85de67a350c8d186f11e6,2,943
396,192.168.131.251,de350869b8c85de67a350c8d186f11e6,12,943
398,192.168.132.101,de350869b8c85de67a350c8d186f11e6,8,943
400,192.168.132.111,de350869b8c85de67a350c8d186f11e6,11,943
402,192.168.132.15,de350869b8c85de67a350c8d186f11e6,2,943
406,192.168.133.119,de350869b8c85de67a350c8d186f11e6,2,943
408,192.168.133.174,de350869b8c85de67a350c8d186f11e6,2,943
410,192.168.133.232,de350869b8c85de67a350c8d186f11e6,8,943
412,192.168.133.254,de350869b8c85de67a350c8d186f11e6,6,943
414,192.168.133.48,de350869b8c85de67a350c8d186f11e6,8,943
418,192.168.134.121,de350869b8c85de67a350c8d186f11e6,5,943
420,192.168.134.125,de350869b8c85de67a350c8d186f11e6,12,943
424,192.168.134.174,de350869b8c85de67a350c8d186f11e6,8,943
426,192.168.134.2,de350869b8c85de67a350c8d186f11e6,2,943
428,192.168.134.218,de350869b8c85de67a350c8d186f11e6,9,943
430,192.168.134.45,de350869b8c85de67a350c8d186f11e6,1,943
434,192.168.134.99,de350869b8c85de67a350c8d186f11e6,2,943
438,192.168.135.219,de350869b8c85de67a350c8d186f11e6,8,943
440,192.168.135.222,de350869b8c85de67a350c8d186f11e6,2,943
442,192.168.135.237,de350869b8c85de67a350c8d186f11e6,4,943
444,192.168.136.141,de350869b8c85de67a350c8d186f11e6,2,943
446,192.168.136.168,de350869b8c85de67a350c8d186f11e6,2,943
448,192.168.136.193,de350869b8c85de67a350c8d186f11e6,2,943
450,192.168.137.139,de350869b8c85de67a350c8d186f11e6,12,943
452,192.168.137.232,de350869b8c85de67a350c8d186f11e6,1,943
458,192.168.137.55,de350869b8c85de67a350c8d186f11e6,9,943
460,192.168.138.151,de350869b8c85de67a350c8d186f11e6,9,943
462,192.168.138.163,de350869b8c85de67a350c8d186f11e6,2,943
464,192.168.138.165,de350869b8c85de67a350c8d186f11e6,8,943
466,192.168.138.180,de350869b8c85de67a350c8d186f11e6,2,943
468,192.168.138.187,de350869b8c85de67a350c8d186f11e6,9,943
470,192.168.138.73,de350869b8c85de67a350c8d186f11e6,9,943
472,192.168.139.216,de350869b8c85de67a350c8d186f11e6,1,943
474,192.168.139.229,de350869b8c85de67a350c8d186f11e6,13,943
476,192.168.14.144,de350869b8c85de67a350c8d186f11e6,8,943
478,192.168.14.169,de350869b8c85de67a350c8d186f11e6,8,943
480,192.168.14.177,de350869b8c85de67a350c8d186f11e6,9,943
482,192.168.14.181,de350869b8c85de67a350c8d186f11e6,12,943
484,192.168.14.208,de350869b8c85de67a350c8d186f11e6,6,943
486,192.168.14.254,de350869b8c85de67a350c8d186f11e6,1,943
488,192.168.14.32,de350869b8c85de67a350c8d186f11e6,2,943
490,192.168.14.56,de350869b8c85de67a350c8d186f11e6,8,943
492,192.168.14.81,de350869b8c85de67a350c8d186f11e6,8,943
494,192.168.140.2,de350869b8c85de67a350c8d186f11e6,2,943
500,192.168.141.206,de350869b8c85de67a350c8d186f11e6,1,943
502,192.168.141.225,de350869b8c85de67a350c8d186f11e6,2,943
504,192.168.141.38,de350869b8c85de67a350c8d186f11e6,2,943
506,192.168.141.70,de350869b8c85de67a350c8d186f11e6,2,943
508,192.168.142.159,de350869b8c85de67a350c8d186f11e6,4,943
510,192.168.142.247,de350869b8c85de67a350c8d186f11e6,1,943
514,192.168.142.43,de350869b8c85de67a350c8d186f11e6,9,943
516,192.168.142.92,de350869b8c85de67a350c8d186f11e6,12,943
520,192.168.143.144,de350869b8c85de67a350c8d186f11e6,8,943
522,192.168.143.199,de350869b8c85de67a350c8d186f11e6,2,943
526,192.168.144.109,de350869b8c85de67a350c8d186f11e6,10,943
528,192.168.144.35,de350869b8c85de67a350c8d186f11e6,1,943
530,192.168.145.161,de350869b8c85de67a350c8d186f11e6,2,943
532,192.168.145.179,de350869b8c85de67a350c8d186f11e6,7,943
536,192.168.146.143,de350869b8c85de67a350c8d186f11e6,8,943
538,192.168.146.62,de350869b8c85de67a350c8d186f11e6,1,943
542,192.168.146.98,de350869b8c85de67a350c8d186f11e6,7,943
544,192.168.147.175,de350869b8c85de67a350c8d186f11e6,12,943
546,192.168.147.186,de350869b8c85de67a350c8d186f11e6,2,943
552,192.168.147.232,de350869b8c85de67a350c8d186f11e6,8,943
558,192.168.148.100,de350869b8c85de67a350c8d186f11e6,7,943
560,192.168.148.152,de350869b8c85de67a350c8d186f11e6,12,943
564,192.168.148.199,de350869b8c85de67a350c8d186f11e6,2,943
566,192.168.148.23,de350869b8c85de67a350c8d186f11e6,1,943
568,192.168.148.32,de350869b8c85de67a350c8d186f11e6,2,943
572,192.168.148.43,de350869b8c85de67a350c8d186f11e6,2,943
574,192.168.149.142,de350869b8c85de67a350c8d186f11e6,2,943
576,192.168.149.146,de350869b8c85de67a350c8d186f11e6,9,943
578,192.168.149.161,de350869b8c85de67a350c8d186f11e6,12,943
580,192.168.149.188,de350869b8c85de67a350c8d186f11e6,12,943
582,192.168.149.41,de350869b8c85de67a350c8d186f11e6,17,943
584,192.168.15.107,de350869b8c85de67a350c8d186f11e6,2,943
586,192.168.15.114,de350869b8c85de67a350c8d186f11e6,10,943
590,192.168.15.96,de350869b8c85de67a350c8d186f11e6,1,943
592,192.168.150.226,de350869b8c85de67a350c8d186f11e6,10,943
594,192.168.151.152,de350869b8c85de67a350c8d186f11e6,10,943
596,192.168.151.244,de350869b8c85de67a350c8d186f11e6,4,943
598,192.168.151.54,de350869b8c85de67a350c8d186f11e6,2,943
600,192.168.151.57,de350869b8c85de67a350c8d186f11e6,4,943
604,192.168.152.145,de350869b8c85de67a350c8d186f11e6,8,943
606,192.168.152.176,de350869b8c85de67a350c8d186f11e6,2,943
608,192.168.152.18,de350869b8c85de67a350c8d186f11e6,6,943
610,192.168.152.183,de350869b8c85de67a350c8d186f11e6,1,943
612,192.168.152.193,de350869b8c85de67a350c8d186f11e6,2,943
614,192.168.152.197,de350869b8c85de67a350c8d186f11e6,1,943
616,192.168.152.201,de350869b8c85de67a350c8d186f11e6,2,943
620,192.168.153.139,de350869b8c85de67a350c8d186f11e6,12,943
622,192.168.153.144,de350869b8c85de67a350c8d186f11e6,2,943
626,192.168.153.59,de350869b8c85de67a350c8d186f11e6,2,943
628,192.168.153.88,de350869b8c85de67a350c8d186f11e6,8,943
630,192.168.154.115,de350869b8c85de67a350c8d186f11e6,9,943
632,192.168.154.137,de350869b8c85de67a350c8d186f11e6,10,943
634,192.168.154.184,de350869b8c85de67a350c8d186f11e6,2,943
638,192.168.154.8,de350869b8c85de67a350c8d186f11e6,9,943
642,192.168.155.23,de350869b8c85de67a350c8d186f11e6,9,943
644,192.168.155.233,de350869b8c85de67a350c8d186f11e6,2,943
646,192.168.155.57,de350869b8c85de67a350c8d186f11e6,2,943
648,192.168.155.67,de350869b8c85de67a350c8d186f11e6,8,943
652,192.168.156.139,de350869b8c85de67a350c8d186f11e6,2,943
654,192.168.156.149,de350869b8c85de67a350c8d186f11e6,2,943
660,192.168.156.198,de350869b8c85de67a350c8d186f11e6,6,943
662,192.168.156.249,de350869b8c85de67a350c8d186f11e6,2,943
666,192.168.157.85,de350869b8c85de67a350c8d186f11e6,9,943
668,192.168.158.140,de350869b8c85de67a350c8d186f11e6,9,943
670,192.168.158.154,de350869b8c85de67a350c8d186f11e6,2,943
672,192.168.158.25,de350869b8c85de67a350c8d186f11e6,2,943
678,192.168.159.71,de350869b8c85de67a350c8d186f11e6,9,943
680,192.168.159.80,de350869b8c85de67a350c8d186f11e6,8,943
682,192.168.159.96,de350869b8c85de67a350c8d186f11e6,12,943
684,192.168.16.128,de350869b8c85de67a350c8d186f11e6,12,943
686,192.168.16.201,de350869b8c85de67a350c8d186f11e6,6,943
690,192.168.16.236,de350869b8c85de67a350c8d186f11e6,8,943
692,192.168.16.77,de350869b8c85de67a350c8d186f11e6,8,943
700,192.168.160.204,de350869b8c85de67a350c8d186f11e6,8,943
702,192.168.160.25,de350869b8c85de67a350c8d186f11e6,2,943
704,192.168.160.36,de350869b8c85de67a350c8d186f11e6,11,943
708,192.168.161.28,de350869b8c85de67a350c8d186f11e6,12,943
710,192.168.161.68,de350869b8c85de67a350c8d186f11e6,1,943
714,192.168.162.152,de350869b8c85de67a350c8d186f11e6,9,943
716,192.168.162.186,de350869b8c85de67a350c8d186f11e6,2,943
718,192.168.162.3,de350869b8c85de67a350c8d186f11e6,2,943
720,192.168.162.9,de350869b8c85de67a350c8d186f11e6,2,943
722,192.168.163.199,de350869b8c85de67a350c8d186f11e6,2,943
724,192.168.163.201,de350869b8c85de67a350c8d186f11e6,2,943
726,192.168.163.208,de350869b8c85de67a350c8d186f11e6,8,943
728,192.168.163.248,de350869b8c85de67a350c8d186f11e6,2,943
730,192.168.163.88,de350869b8c85de67a350c8d186f11e6,2,943
734,192.168.165.138,de350869b8c85de67a350c8d186f11e6,8,943
742,192.168.165.33,de350869b8c85de67a350c8d186f11e6,2,943
746,192.168.165.75,de350869b8c85de67a350c8d186f11e6,7,943
748,192.168.166.148,de350869b8c85de67a350c8d186f11e6,2,943
751,192.168.166.230,de350869b8c85de67a350c8d186f11e6,9,943
753,192.168.166.231,de350869b8c85de67a350c8d186f11e6,12,943
755,192.168.166.249,de350869b8c85de67a350c8d186f11e6,1,943
757,192.168.166.61,de350869b8c85de67a350c8d186f11e6,9,943
759,192.168.167.255,de350869b8c85de67a350c8d186f11e6,2,943
763,192.168.167.65,de350869b8c85de67a350c8d186f11e6,12,943
765,192.168.168.135,de350869b8c85de67a350c8d186f11e6,2,943
775,192.168.17.10,de350869b8c85de67a350c8d186f11e6,12,943
777,192.168.17.112,de350869b8c85de67a350c8d186f11e6,2,943
779,192.168.17.124,de350869b8c85de67a350c8d186f11e6,4,943
781,192.168.17.59,de350869b8c85de67a350c8d186f11e6,8,943
787,192.168.170.210,de350869b8c85de67a350c8d186f11e6,2,943
789,192.168.170.215,de350869b8c85de67a350c8d186f11e6,8,943
791,192.168.170.36,de350869b8c85de67a350c8d186f11e6,8,943
793,192.168.170.58,de350869b8c85de67a350c8d186f11e6,2,943
795,192.168.171.115,de350869b8c85de67a350c8d186f11e6,12,943
797,192.168.171.165,de350869b8c85de67a350c8d186f11e6,8,943
799,192.168.171.194,de350869b8c85de67a350c8d186f11e6,2,943
805,192.168.171.74,de350869b8c85de67a350c8d186f11e6,12,943
807,192.168.172.104,de350869b8c85de67a350c8d186f11e6,2,943
809,192.168.172.212,de350869b8c85de67a350c8d186f11e6,10,943
813,192.168.172.48,de350869b8c85de67a350c8d186f11e6,9,943
815,192.168.172.55,de350869b8c85de67a350c8d186f11e6,2,943
819,192.168.173.83,de350869b8c85de67a350c8d186f11e6,6,943
825,192.168.175.137,de350869b8c85de67a350c8d186f11e6,2,943
827,192.168.175.144,de350869b8c85de67a350c8d186f11e6,9,943
829,192.168.175.191,de350869b8c85de67a350c8d186f11e6,2,943
831,192.168.175.231,de350869b8c85de67a350c8d186f11e6,1,943
833,192.168.176.107,de350869b8c85de67a350c8d186f11e6,9,943
838,192.168.176.243,de350869b8c85de67a350c8d186f11e6,4,943
844,192.168.178.226,de350869b8c85de67a350c8d186f11e6,2,943
846,192.168.178.71,de350869b8c85de67a350c8d186f11e6,12,943
848,192.168.178.81,de350869b8c85de67a350c8d186f11e6,2,943
850,192.168.179.120,de350869b8c85de67a350c8d186f11e6,8,943
852,192.168.179.157,de350869b8c85de67a350c8d186f11e6,8,943
854,192.168.179.180,de350869b8c85de67a350c8d186f11e6,2,943
856,192.168.179.243,de350869b8c85de67a350c8d186f11e6,2,943
858,192.168.179.68,de350869b8c85de67a350c8d186f11e6,2,943
862,192.168.18.150,de350869b8c85de67a350c8d186f11e6,2,943
864,192.168.18.185,de350869b8c85de67a350c8d186f11e6,2,943
866,192.168.18.216,de350869b8c85de67a350c8d186f11e6,5,943
868,192.168.18.217,de350869b8c85de67a350c8d186f11e6,8,943
870,192.168.18.233,de350869b8c85de67a350c8d186f11e6,1,943
874,192.168.18.71,de350869b8c85de67a350c8d186f11e6,2,943
876,192.168.18.92,de350869b8c85de67a350c8d186f11e6,1,943
878,192.168.180.17,de350869b8c85de67a350c8d186f11e6,9,943
880,192.168.180.178,de350869b8c85de67a350c8d186f11e6,8,943
884,192.168.181.120,de350869b8c85de67a350c8d186f11e6,10,943
886,192.168.181.15,de350869b8c85de67a350c8d186f11e6,2,943
888,192.168.181.167,de350869b8c85de67a350c8d186f11e6,12,943
890,192.168.181.223,de350869b8c85de67a350c8d186f11e6,8,943
892,192.168.182.115,de350869b8c85de67a350c8d186f11e6,9,943
896,192.168.182.225,de350869b8c85de67a350c8d186f11e6,1,943
898,192.168.182.240,de350869b8c85de67a350c8d186f11e6,8,943
902,192.168.183.117,de350869b8c85de67a350c8d186f11e6,9,943
904,192.168.183.154,de350869b8c85de67a350c8d186f11e6,2,943
906,192.168.183.157,de350869b8c85de67a350c8d186f11e6,1,943
912,192.168.183.56,de350869b8c85de67a350c8d186f11e6,2,943
914,192.168.183.67,de350869b8c85de67a350c8d186f11e6,8,943
916,192.168.184.214,de350869b8c85de67a350c8d186f11e6,3,943
922,192.168.185.223,de350869b8c85de67a350c8d186f11e6,10,943
924,192.168.185.241,de350869b8c85de67a350c8d186f11e6,2,943
928,192.168.185.8,de350869b8c85de67a350c8d186f11e6,12,943
930,192.168.186.126,de350869b8c85de67a350c8d186f11e6,12,943
934,192.168.186.173,de350869b8c85de67a350c8d186f11e6,2,943
936,192.168.186.202,de350869b8c85de67a350c8d186f11e6,12,943
938,192.168.186.205,de350869b8c85de67a350c8d186f11e6,6,943
940,192.168.186.227,de350869b8c85de67a350c8d186f11e6,8,943
942,192.168.186.254,de350869b8c85de67a350c8d186f11e6,8,943
944,192.168.186.37,de350869b8c85de67a350c8d186f11e6,12,943
946,192.168.186.45,de350869b8c85de67a350c8d186f11e6,1,943
948,192.168.187.103,de350869b8c85de67a350c8d186f11e6,2,943
952,192.168.187.180,de350869b8c85de67a350c8d186f11e6,4,943
954,192.168.187.186,de350869b8c85de67a350c8d186f11e6,6,943
956,192.168.187.254,de350869b8c85de67a350c8d186f11e6,12,943
958,192.168.187.32,de350869b8c85de67a350c8d186f11e6,2,943
960,192.168.187.34,de350869b8c85de67a350c8d186f11e6,9,943
962,192.168.188.122,de350869b8c85de67a350c8d186f11e6,2,943
964,192.168.188.127,de350869b8c85de67a350c8d186f11e6,2,943
972,192.168.188.38,de350869b8c85de67a350c8d186f11e6,2,943
976,192.168.189.10,de350869b8c85de67a350c8d186f11e6,12,943
978,192.168.189.125,de350869b8c85de67a350c8d186f11e6,8,943
982,192.168.189.165,de350869b8c85de67a350c8d186f11e6,12,943
984,192.168.189.55,de350869b8c85de67a350c8d186f11e6,1,943
986,192.168.19.103,de350869b8c85de67a350c8d186f11e6,12,943
992,192.168.190.11,de350869b8c85de67a350c8d186f11e6,3,943
994,192.168.190.12,de350869b8c85de67a350c8d186f11e6,8,943
996,192.168.190.125,de350869b8c85de67a350c8d186f11e6,12,943
998,192.168.190.224,de350869b8c85de67a350c8d186f11e6,1,943
1002,192.168.190.60,de350869b8c85de67a350c8d186f11e6,2,943
1004,192.168.191.152,de350869b8c85de67a350c8d186f11e6,9,943
1006,192.168.191.193,de350869b8c85de67a350c8d186f11e6,12,943
1008,192.168.191.203,de350869b8c85de67a350c8d186f11e6,8,943
1010,192.168.191.226,de350869b8c85de67a350c8d186f11e6,2,943
1012,192.168.191.246,de350869b8c85de67a350c8d186f11e6,4,943
1018,192.168.192.233,de350869b8c85de67a350c8d186f11e6,8,943
1020,192.168.192.28,de350869b8c85de67a350c8d186f11e6,2,943
1022,192.168.192.46,de350869b8c85de67a350c8d186f11e6,2,943
1028,192.168.193.151,de350869b8c85de67a350c8d186f11e6,2,943
1030,192.168.193.19,de350869b8c85de67a350c8d186f11e6,3,943
1032,192.168.194.0,de350869b8c85de67a350c8d186f11e6,1,943
1036,192.168.194.174,de350869b8c85de67a350c8d186f11e6,9,943
1038,192.168.194.185,de350869b8c85de67a350c8d186f11e6,1,943
1040,192.168.194.2,de350869b8c85de67a350c8d186f11e6,9,943
1042,192.168.195.103,de350869b8c85de67a350c8d186f11e6,8,943
1044,192.168.195.104,de350869b8c85de67a350c8d186f11e6,12,943
1046,192.168.195.106,de350869b8c85de67a350c8d186f11e6,9,943
1050,192.168.195.157,de350869b8c85de67a350c8d186f11e6,10,943
1052,192.168.195.161,de350869b8c85de67a350c8d186f11e6,12,943
1056,192.168.195.209,de350869b8c85de67a350c8d186f11e6,2,943
1058,192.168.195.213,de350869b8c85de67a350c8d186f11e6,8,943
1062,192.168.195.9,de350869b8c85de67a350c8d186f11e6,8,943
1064,192.168.196.211,de350869b8c85de67a350c8d186f11e6,8,943
1066,192.168.196.234,de350869b8c85de67a350c8d186f11e6,2,943
1068,192.168.196.69,de350869b8c85de67a350c8d186f11e6,2,943
1072,192.168.197.154,de350869b8c85de67a350c8d186f11e6,2,943
1074,192.168.197.159,de350869b8c85de67a350c8d186f11e6,2,943
1076,192.168.198.121,de350869b8c85de67a350c8d186f11e6,8,943
1078,192.168.198.177,de350869b8c85de67a350c8d186f11e6,2,943
1080,192.168.198.210,de350869b8c85de67a350c8d186f11e6,8,943
1082,192.168.198.22,de350869b8c85de67a350c8d186f11e6,9,943
1084,192.168.198.249,de350869b8c85de67a350c8d186f11e6,12,943
1086,192.168.198.255,de350869b8c85de67a350c8d186f11e6,2,943
1088,192.168.198.27,de350869b8c85de67a350c8d186f11e6,14,943
